feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Sfi1unalikevirus	Without_combined	MS2	0.571224225849363	0.0841045792629306	77	75	2.5192083200236e-07	2.63864333372457e-06
k__Viruses.f__Poxviridae.g__Parapoxvirus	Without_combined	MS2	0.565716348271185	0.0867119237116094	77	4	2.55617371694305e-07	2.63864333372457e-06
k__Viruses.f__Bicaudaviridae.g__Bicaudavirus	Without_combined	MS2	0.568377418209999	0.0867450366281723	77	13	2.90183986838138e-07	2.63864333372457e-06
k__Viruses.f__Circoviridae.g__Gyrovirus	Without_combined	MS2	0.569748568405019	0.0871279833959031	77	62	3.20525841199873e-07	2.63864333372457e-06
k__Viruses.f__Caulimoviridae.g__Badnavirus	Without_combined	MS2	0.568714601223437	0.0868584231727924	77	66	2.96010967558788e-07	2.63864333372457e-06
k__Viruses.f__Papillomaviridae.g__Betapapillomavirus	Without_combined	MS2	0.566817866846232	0.0874058261749166	77	74	2.94186536850764e-07	2.63864333372457e-06
k__Viruses.o__Tymovirales.f__Betaflexiviridae.g__Trichovirus	Without_combined	MS2	0.568391355605898	0.0877390336509579	77	75	3.27307371197352e-07	2.63864333372457e-06
k__Viruses.o__Caudovirales.f__Podoviridae.g__Bcep22likevirus	Without_combined	MS2	0.568746893717786	0.0870526270468395	77	76	3.03867617873826e-07	2.63864333372457e-06
k__Viruses.o__Ligamenvirales.f__Lipothrixviridae.g__Deltalipothrixvirus	Without_combined	MS2	0.570028437003237	0.0865077485591289	77	67	3.01508802645064e-07	2.63864333372457e-06
k__Viruses.f__Poxviridae.g__Cervidpoxvirus	Without_combined	MS2	0.565744674365046	0.0853822312444164	77	2	1.8228051892248e-07	2.63864333372457e-06
k__Viruses.f__Potyviridae.g__Bymovirus	Without_combined	MS2	0.566493705335176	0.0877625500746515	77	75	3.06513049228489e-07	2.63864333372457e-06
k__Viruses.o__Caudovirales.f__Podoviridae.g__Phikmvlikevirus	Without_combined	MS2	0.566351677971623	0.0887002995524182	77	5	2.96688664625517e-07	2.63864333372457e-06
k__Viruses.o__Caudovirales.f__Siphoviridae.g__T5likevirus	Without_combined	MS2	0.569287264458658	0.0874618265439103	77	76	2.99254937030763e-07	2.63864333372457e-06
k__Viruses.f__Papillomaviridae.g__Mupapillomavirus	Without_combined	MS2	0.568963033054046	0.08712357461204	77	77	3.09082268554129e-07	2.63864333372457e-06
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Lambdalikevirus	Without_combined	MS2	0.565441596112979	0.086573622644965	77	75	2.4800813273327e-07	2.63864333372457e-06
k__Viruses.f__Papillomaviridae.g__Phipapillomavirus	Without_combined	MS2	0.570694056558646	0.0855438635952854	77	77	2.79868810727584e-07	2.63864333372457e-06
k__Viruses.f__Anelloviridae.g__Alphatorquevirus	Without_combined	MS2	0.568814390139782	0.0868244330431054	77	54	2.96014576275453e-07	2.63864333372457e-06
k__Viruses.g__Pithovirus	Without_combined	MS2	0.570276824975369	0.0863108563925881	77	69	2.9809837560903e-07	2.63864333372457e-06
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Barnyardlikevirus	Without_combined	MS2	0.568397730264544	0.0867249526734292	77	77	2.8710142347031e-07	2.63864333372457e-06
k__Viruses.o__Caudovirales.f__Myoviridae.g__P100virus	Without_combined	MS2	0.566203198021997	0.0875344664683635	77	75	2.67612046364994e-07	2.63864333372457e-06
k__Viruses.f__Reoviridae.g__Cypovirus	Without_combined	MS2	0.570148808227092	0.0865012755718589	77	27	3.03165030876585e-07	2.63864333372457e-06
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Iltovirus	Without_combined	MS2	0.569769929315606	0.0856307209376547	77	46	2.69424565274931e-07	2.63864333372457e-06
k__Viruses.f__Bunyaviridae.g__Phlebovirus	Without_combined	MS2	0.567942628030473	0.0875617996167003	77	12	3.13816484628537e-07	2.63864333372457e-06
k__Viruses.f__Closteroviridae.g__Closterovirus	Without_combined	MS2	0.56866242794338	0.0854251485627888	77	1	2.48680514661161e-07	2.63864333372457e-06
k__Viruses.o__Caudovirales.f__Myoviridae.g__Viunalikevirus	Without_combined	MS2	0.566245383026329	0.0860626661946814	77	14	2.39049353971935e-07	2.63864333372457e-06
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Phicbklikevirus	Without_combined	MS2	0.569753004875505	0.0867180744236226	77	76	3.04958910345656e-07	2.63864333372457e-06
k__Viruses.f__Fuselloviridae.g__Alphafusellovirus	Without_combined	MS2	0.569442463764936	0.0868975135416823	77	75	3.07343542220618e-07	2.63864333372457e-06
k__Viruses.o__Caudovirales.f__Podoviridae.g__N4likevirus	Without_combined	MS2	0.567199688624347	0.0878601257817769	77	76	3.18053387468949e-07	2.63864333372457e-06
k__Viruses.f__Retroviridae.g__Lentivirus	Without_combined	MS2	0.570686125223256	0.0860971849496046	77	77	2.96875712172074e-07	2.63864333372457e-06
k__Viruses.f__Luteoviridae.g__Polerovirus	Without_combined	MS2	0.569101591812392	0.0870666810927232	77	75	3.09143661188286e-07	2.63864333372457e-06
k__Viruses.f__Geminiviridae.g__Begomovirus	Without_combined	MS2	0.568624007965829	0.0868734875473553	77	72	2.95306045538124e-07	2.63864333372457e-06
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Andromedalikevirus	Without_combined	MS2	0.569217713895102	0.0858779696588134	77	65	2.69242594525074e-07	2.63864333372457e-06
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Aphthovirus	Without_combined	MS2	0.566297294968485	0.0877422436705578	77	76	2.777868214699e-07	2.63864333372457e-06
k__Viruses.f__Iridoviridae.g__Lymphocystivirus	Without_combined	MS2	0.564370170417155	0.0866618648146775	77	72	2.44378172695579e-07	2.63864333372457e-06
k__Viruses.o__Caudovirales.f__Myoviridae.g__Twortlikevirus	Without_combined	MS2	0.569994015850975	0.0868881287626502	77	75	3.14414468242379e-07	2.63864333372457e-06
k__Viruses.o__Picornavirales.f__Secoviridae.g__Cheravirus	Without_combined	MS2	0.57066223809998	0.086982349168664	77	67	3.2827775167387e-07	2.63864333372457e-06
