feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Chromatiales.f__Ectothiorhodospiraceae.g__Arhodomonas	Without_combined	MS2	1.16867475648085	0.117174054183135	77	59	8.24819216947427e-12	1.05411895925881e-08
k__Viruses.o__Herpesvirales.f__Malacoherpesviridae.g__Ostreavirus	Without_combined	MS2	1.00168532099342	0.106210784516154	77	77	2.20926357227169e-11	1.21051486136706e-08
k__Viruses.g__Bacilladnavirus	Without_combined	MS2	1.00238719979642	0.107306040080672	77	62	2.84158418161282e-11	1.21051486136706e-08
k__Viruses.f__Poxviridae.g__Parapoxvirus	Without_combined	MS2	0.762207626998601	0.0967303763510652	77	77	3.45322367718456e-09	5.30089662600918e-08
k__Viruses.f__Bicaudaviridae.g__Bicaudavirus	Without_combined	MS2	0.758768585739123	0.0968391047812273	77	77	3.61687400674399e-09	5.30089662600918e-08
k__Viruses.o__Caudovirales.f__Podoviridae.g__Bcep22likevirus	Without_combined	MS2	0.759086576797786	0.0971996362162676	77	77	3.90127036074223e-09	5.30089662600918e-08
k__Viruses.f__Poxviridae.g__Cervidpoxvirus	Without_combined	MS2	0.765366877329137	0.0953411042931799	77	76	2.57144930256642e-09	5.30089662600918e-08
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Lambdalikevirus	Without_combined	MS2	0.762341403160062	0.0965684574178082	77	77	3.33405882091999e-09	5.30089662600918e-08
k__Viruses.f__Anelloviridae.g__Alphatorquevirus	Without_combined	MS2	0.758737304753456	0.096948611690146	77	77	3.70524912585736e-09	5.30089662600918e-08
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Barnyardlikevirus	Without_combined	MS2	0.759127379611926	0.0968149944836443	77	77	3.58651255626019e-09	5.30089662600918e-08
k__Viruses.f__Closteroviridae.g__Closterovirus	Without_combined	MS2	0.757315596395382	0.0953660743856123	77	55	2.64722416862594e-09	5.30089662600918e-08
k__Viruses.f__Fuselloviridae.g__Alphafusellovirus	Without_combined	MS2	0.757972200507868	0.0970699190669885	77	77	3.83312119302049e-09	5.30089662600918e-08
k__Viruses.f__Poxviridae.g__Avipoxvirus	Without_combined	MS2	0.760447628721977	0.0923862774855559	77	28	1.35177764613798e-09	5.30089662600918e-08
k__Viruses.o__Tymovirales.f__Betaflexiviridae.g__Foveavirus	Without_combined	MS2	0.758918797092954	0.0971123077939715	77	77	3.83392550875580e-09	5.30089662600918e-08
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Skunalikevirus	Without_combined	MS2	0.760993226112678	0.0962431651080663	77	77	3.12720526805157e-09	5.30089662600918e-08
k__Viruses.o__Caudovirales.f__Myoviridae.g__Cp220likevirus	Without_combined	MS2	0.75437189307156	0.0961586903267706	77	75	3.26679495832334e-09	5.30089662600918e-08
k__Viruses.o__Caudovirales.f__Myoviridae.g__Phikzlikevirus	Without_combined	MS2	0.752106573096448	0.0952992788558032	77	77	2.77588147063265e-09	5.30089662600918e-08
k__Viruses.f__Orthomyxoviridae.g__Influenzavirus_C	Without_combined	MS2	0.758734674304269	0.0971920958293637	77	77	3.90755852829859e-09	5.30089662600918e-08
k__Viruses.o__Caudovirales.f__Podoviridae.g__Phi29likevirus	Without_combined	MS2	0.758802242243258	0.0970908246210019	77	77	3.8198694599971e-09	5.30089662600918e-08
